date,crux_window,m_lcp_s,m_inp_ms,m_cls,m_ttfb_s,d_lcp_s,d_inp_ms,d_cls,d_ttfb_s,cwv_pass,lab_perf_m,lab_perf_d,gt_score,gt_grade,gt_page_mb,gsc_clicks,gsc_impr,gsc_ctr,gsc_pos
2026-07-28,Jun29-Jul26,1.7,87,0.00,0.6,1.4,32,0.06,0.5,yes,,,70,C,3.11,,,,
2026-07-29,Jun30-Jul27,1.7,84,0.00,0.6,1.4,32,0.06,0.5,yes,55,61,65,D,3.31,1087,40554,2.68%,6.5
2026-08-07,Jul10-Aug6,1.67,86,0.01,0.65,1.41,34,0.06,0.49,yes,52,69,65,D,3.09,1167,43619,2.68%,6.4
2026-08-13,Jul17-Aug13,1.67,84,0.01,0.65,1.52,35,0.07,0.52,yes,60,71,66,D,3.09,1192,47116,2.53%,6.4
